date,text,NumberLikes,NumberComments,NumberViews
2021-05-10,"Happy Mother’s Day to all the mamas to human 👶🏼, furry 🐶 or plant 🪴 babies! Daddy, Ollie and Biscuit are spoiling me for my first Mother’s Day 💐.
.
It’s been the most magical, rewarding and just incredible thing to see Ollie grow every day, every minute 👶🏼. Trying not to blink so he can’t grow up too fast 🥺.
.
P.S. Ollie looks a lot like me when I was a baby (see 2nd pic) 😂??
.
3rd: Our sweet Muffin 🐶 who is playing at 🌈 bridge
4th: puppy Biscuit 🐶
.
#shuangyseats #oliverthomas #mothersday #10weeksold #babyboy #firsttimemom,Happy Mother’s Day ❤️❤️,Happy Mother’s Day!!!,Happy Mother’s Day!❤️,AHHHHHH BABYYYYYY😍😍😍,Happy Mother’s Day!,HAPPY MOTHERS DAY!!! ❤️❤️,Happy first Mother’s Day!!!❤️,Happy Mother’s Day sweet mama!!💕💕💕,Happy Mother’s day dear❤️❤️❤️,Happy Mother’s Day 🌷💜,Happy Mother’s Day to an amazing woman! We love you Shuangy ❤️❤️❤️,Happy Mother’s Day,Happy Mother’s Day Shuangy!!💐🥰🌷,Happy Mother’s Day ❤️❤️,How adorable! Happy Mother’s Day 😍,Awww happy mother day! And yes, he totally looks like his beautiful mama 😍😍 I hope you had the best day ❤️,•
•
•
•

#newborn #babyboy #newbornbaby #babymama #newmom #newmomlife #newmommy #newmommylife #healthybaby #asianbaby #mixedbaby #newbaby #postpartumjourney #foodblogger #justbornbaby #newbornphotography #halfasianbaby,Happy Mother’s Day!!❤️,Happy Mother’s Day!,Happy Mother’s Day!!,Happy Mother’s Day to you!!,so cute. happy Mother’s Day!,YOU TWO😍😍😍😍,Happy Mother’s Day!!!,",1712,114,0
2021-05-06,"Gooey Ooey Banana Brownies 🍫 made with only 6ish  ingredients! It is moist 💦, gooey and so Chocolate-Y. Nothing like a BITE SHOT to get you drool 🤤 . Just to be EXTRA, swirl it off with a b*tt load of almond butter + chocolate chips + sea salt 🧂. K?
.
Hope everyone has a great Friday Jr. 🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- RIPE bananas 🍌(duhh)
- Eggs
- Almond Butter
- Cacao Powder
- Chocolate Chips
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨. (Direction 🎥 on my story)
.

https://shuangyskitchensink.com/healthy-banana-brownies/

.
#shuangyseats #paleodessert #brownies #brownielovers #bananachocolate #healthybrownies,Texture has me all 😍,Chocolate, banana And almond butter? IM DONE 😩,That swirl 😍😍,I m in love it😍,love this close up 😍,Oh yes!!! Perfect texture 👏,They look soo bomb 😋,That flaky sea salt 😍👏,So gooey and delicious!! 😍,Look at that perfect swirl 😍,swirl me up in this magic😍,Texture 🔥,Gah these brownies!!!!,Love the swirl 🔥,Yuuum I need😍 looks so good ❤️,THAT SWIRL THOOO😍,Ughhhh so yum wow ❤️,Loving that texture 😍,These still look firm even without any flour 😍 that’s amazing!,I thought you were going to say peanut butter, but almond is even more enticing😍,THIS IS DANG FINEEE 😍🔥,WOW these are literally amazing 😍,Obsessed 😍😍 omg!!,unreaaaaaaal 🤯 how do you do it?!,",5278,300,0
2021-05-05,"5 🖐🏼 ingredient NO BAKE Peanut Butter 🥜 COOKIES is getting #reels! Sweet n salty, so FUDGing addicting 🤯, and easy to make too.
.
Oh don’t forget the EXTRA sea salt 🧂on top, K? Hope everyone has a great Hump day (I clearly didn’t get the cinco de Mayo memo🌮🤷🏻‍♀️).
.
•••••••••••••.
dEATs 👇🏼:
.
- Raw Cashews
- Peanut 🥜 Butter
- Medjool dates (keto option on my blog)
- coconut flour 
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨.
.

https://shuangyskitchensink.com/no-bake-peanut-butter-chocolate-bars/

.
#shuangyseats #vegandessert #peanutbuttercookies #nobakecookies 
.
#healthyeating #goodmoodfood #healthyrecipes #healthydessert #dessertrecipe #dairyfreedessert #easyrecipes #healthyfood #healthydiet #cleaneating #glutenfree #healthysnack #veganrecipes #vegandessert #healthyvegan #glutenfreedessert #healthybreakfast #glutenfreevegan #healthylifestyle #veganfood #healthysnacks,Here for no bake treats 😍😍😍,Perfection ❤️,I need to make these 😍😍 that texture!!,This texture😍😍😍,So fudgy!! 🤤🤤🤤,Delish 😍😍,Love the sweet and salty of these treats!!😍😍,So yummy 🙌🙌,texture😍,Get in my belly please 😍 I could go for the whole batch right now!,Oh DAMNNNN they look 🔥🔥🔥,so delish😍🔥,NEED,Love making these! So good!,Oooh these look INCREDIBLE ❤️,These are perfect! 🌈🥜,Do you sell these?!,Love it😍,They look so fudgey and delicious!!! Can’t wait to try!,on top? what about on the bottom,NEED TO TRY,these are the best pre workout😍,r u kidding me 😍,Looks sooo delicious ❤️,",2408,203,26196
2021-05-04,"Healthy Lemon 🍋 Blueberry Bread that Moist n Light 💨, Sweet and Tangy, just melts in your mouth, seriously! Glazed with a simple maple 🍁 coconut butter for a healthy breakfast 👌🏼, or a big scoop of ice cream 🍦 for dessert. Tested a few times with Paleo, Keto options too 💁🏻‍♀️. It’s a MUST try for spring and summer ☀️!
.
Hope everyone has a great Tuesday🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- Lemon 🍋 and Blueberries 🫐 (duhh)
- Almond and Coconut Flour
- Eggs
- Coconut oil
- Sugar of choice (dietary options explained on my blog)
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨. (Direction 🎥 on my story)
.

https://shuangyskitchensink.com/healthy-blueberry-lemon-bread/

.
#shuangyseats #paleodessert #ketodessert #lemonblueberry,Only blues I want 😍😍😍,This is perfect 😍😍,Sweet and tangy is just what I neeeed 😍,The texture is so GOOOOOD,Mmm😍 give me the whole loaf!!,These flavors 😍😍😍😍,PERFECT 😍😍,The best flavor combo ever!! 😍,Blueberry lemon is my all time favorite!🤩🤩,I seriously need this😍🤤,Looks so so fresh! I want the second bite!,Do you deliver?!😍😍,CAN YOU SEND ME A LOAF,Drooling 😍 I can just taste the lemon!,This looks soo good😍😍lemon and blueberry is just the best combo😋😋❤️,This texture is next level 😍,Ooh this is crave worthy!!! 😍,couldn’t look better 😍😍,My fave fruity combo and also SO FREAKING MOIST😮😮,I’m going to try this recipe. I can’t ever get blueberry lemon done properly and love it! It looks so moist,Come to mama 😍,Lemon blueberry bread is seriously dreamy😍,Lemon and blueberry is a dream combo to me 😍 NEED A SLICE PLEASEE,My favorite bread,",2798,268,0
2021-05-03,"Toasting 🍞 to the New Month with a Mashed Avocado sourdough Toast with Strawberry 🍓, olive oil and sprinkle of goat cheese. Simple combo but HIT the spot! Over here enjoying a gloomy morning ☕️ and planning out a couple NEW recipes for the week 💁🏻‍♀️.
.
Everybody is Recovering from all the fun this past weekend 🐶👶🏼🍻 . Hope everyone is sMASHing this Monday 🤸🏻‍♀️✨.
.
•••••••••••••••••.
dEATs 👇🏼:
.
- a THICK piece of sourdough toasted + mashed 1/2 avocado 🥑 + sliced strawberry + drizzle of olive oil + sprinkle of goat 🐐 or feta or vegan cheese 🧀 .
.
#shuangyseats #avocadotoast #mondayvibes #healthybreakfast,Haven’t had this combo in too long!,Love that mash 🥺💗absolutely perfect shuang!!,Toast dreamssss 😍😍😍🙌,beautiful shot!😍,Sourdough with any toppings is 🙌❤️😍,Never tasted strawberries with avocado! Definitely need to try ! 😃,This is such a wicked combo😮,Ok heyyyyy 😍,I need to try this combo😍,Now this is how I would like to start my Monday!,This is the best combo😍,Love strawberry on avocado toast! 😍 hope you have the best month ahead Shuang!,This combo sounds amazing!! I must try avocado + strawberries ASAP 😍,How delicious 🙌 this is the ultimate avo toast ❤️,Ooo I can imagine adding a drizzle of balsamic glaze would really set it over the top 😍😍,It’s the olive oil drizzle at the end for me,Happy May! What a way to celebrate 🌸💫,I need this toast asap,Oh hell yes 🙌,So so pretty! I need to try this combo!,Oof strawberries + avo 👏🏻😍,wow I’m obsessed 😍😍 those strawbs look PERFECT,Most spectacular combo❤️,Looks so delicious ❤️🙌,",5825,309,0
2021-04-30,"All the Spring vibes with a Strawberry 🍓 Poppyseed salad out on the front porch.  Been living off of @panerabread takeout for lunch since Oliver arrived. And NOW #spsszn is back for the spring and summer ☀️. I’m Digging this refreshing strawberry poppyseed 🥗 that is packed with all the fruits 🍓🫐🍍and protein.
.
What’s your go-to order this time of the year??
.
Off to enjoy the nice weather with the fam. Hope everyone has a great weekend. 💁🏻‍♀️.
.
.
.
.
#shuangyseats #ad #panerapartner #saladbowl #springsalad #healthyeating,Need to pick up one of these! 🙌,Love me some summer fruity salads!!,YUM😍,I can literally taste it 🤤,Awww, you and your beautiful baby look like one person all tucked together!❤️❤️❤️,Im here for all the spring food 👏👏,Second pic 🥺🥺🥺 love this salad!!!!,My favorite Panera salad 😍😍,My fave Panera salad!!,Looks so delish!!,Ugh that is such a good salad! 😋😋😋😋,Love that salad of theirs ❤️,Looks so delicious ❤️🙌,i love poppyseed dressing!!,I love fruit in salads in the summatime😍😍,Oh my gosh this looks DELISH,Looove that salad!!,This salad looks so delicious,my freaking FAVE 😍,Loving this!!! I love the poppy!,Yumm that looks good 😍,It looks so good and I lo d the photo of you and Oliver ❤️,Awww cutiesssss🙌❤️,Oooo getting all the spring vibes from this 👏😍,",813,145,0
2021-04-29,"Healthy Chocolate 🍫 Banana Bread That YOU MUST TRY! This bad boy is MOIST, FLUFFY 💨 and so EASY to make. What’s a better way to use up some ripe spotty 🍌 . TOP with a Thick hunk with almond butter and sea salt 🧂. Ya feel 🤪?
.
Just in time for your weekend baking 💁🏻‍♀️. Hope everyone has a Good Friday Jr. 🤸🏻‍♀️✨
.
•••••••••••••••.
dEATs 👇🏼:
.
- Eggs
- RIPE bananas 🍌 (duh)
- Cacao Power
- Almond + Coconut Flour
- Coconut sugar
- Almond Butter (you can also use 🥜 butter 🤭)
- Chocolate Chips 🍫 
.

RECIPE on my blog, *LINK in bio ✨. Direction on my story 🎥.

https://shuangyskitchensink.com/healthy-banana-bread-paleo-flourless/
.
.
#shuangyseats #bananabread #chocolatelovers #paleodessert
.
.
.
.

#healthyeating #healthyrecipes #healthydessert #dessertrecipe #paleorecipes #dairyfreedessert #easyrecipes #healthydiet #cleaneating #healthysnack #easydessert #glutenfreedessert #healthybreakfast #paleodessert #paleorecipe #glutenfree #healthyfood #glutenfreefood #heathylifestyle #dessertrecipes #easydesserts,That sea salt tho 😍😍😍,Wowwww,Oh my 😍😍,Mmmm! I need this now🔥❤️,Yummm 😍😍 i love banana bread!,Send me some please!!,Don’t have to tell me twice! ❤️,Wow this is so ridiculously good😍,The pb😢,Okay the bite shot though ❤️😍absolutely obsessed!!!,Need this 😍😍😍,That layer 😍😍,Those thick slices 😍,This looks soooo moist and fluffy 😍😍,So perfect!!,Omg I wanna dive into this pb pool,It looks UNREAL😍 omg I’m dreaming of this,This thickness wow 👏👏😍,Everything I need in my life,Say no more!!! Sign me up!!!!❤️,This bread looks so GOOD 🔥🔥🔥,Need😍,Def need to try 🔥,ohhhh my 😍 the video close up just GETS ME,",3727,281,8415
2021-04-28,"A THICK and CREAMY loaded oatmeal bowl topped with a generous dollop of Peanut 🥜 Butter sea salt 🧂 . The best way to kick off an OATstanding day 💁🏻‍♀️. This combo never gets old. Got Tom hooked on this combo too🙋🏼‍♂️.
.
Oliver did really well for his 👶🏼 vaccine yesterday! And now mama is off to get her second shot COVID vaccine herself! Hope y’all have a great hump day🤸🏻‍♀️✨
.
•••••••••••••••
.
dEATs 👇🏼:
.
Stove top oats:
- 1/2 cup gluten free oats
- 1 tbsp chia seeds or/and 1 tbsp ground flax seeds (optional)
- 1/2 tsp cinnamon + a pinch of SALT 🧂
- 1 scoop of protein of choice (i used pea protein which thickens it even more 👌🏼)
- 1 cup milk 🥛of choice 
.
Stir everything together in one pot. Bring to almost boil, immediately turn down to simmer, stir frequently until thick and creamy. 
.
Toppings:
.
Banana 🍌 + blackberry + peanut 🥜 butter + granola
.
#shuangyseats #Oatmeal #healthybreakfast,Yummmmm,So creamy 😍😍,Omgggg the best bowl of oats,Such a dream bowl 😍,Your loaded oatmeal bowls get me every time 😋😋,You always make the best oat bowls!,Love me a thick and creamy oat bowl 😢,Such a winning combo for sure 🔥,Good luck with your shot!! Rest up!,Now this is how to start your day! 😍,NEEEED this bowl!!,Glad to hear he is feeling great 🙌❤️ this breakfast looks deeelish,This bowl is a BEAUT!! 😍,the generous dollop of PB is a must,Thick and creamy I’m sold 😍😍,THICK and CREAMY? Yes please!,This is one beautiful bowl girl!😍,Nothing better than this😍😍,Wish i had a spoon right now! 👌🏼,Oof what a lovely bowl my friend 😍SHES absolutely perfect!!,a dream bowl right here 😍,Best bowl ever 😍,The prettiest bowl!!!,Mmm those blackberries are lookin deee-licious😍,",2154,219,0
2021-04-27,"5 🖐🏼 ingredient NO BAKE Peanut Butter 🥜 COOKIES that is sweet n salty, so FUDGing addicting 🤯, and easy to make too (on my story 🎥). I’m a sucker when it comes freezer energy bites, no bake dessert if you can’t tell already. With Oliver 👶🏼, these are the perfect snacks to have in hand 💁🏻‍♀️.
.
Oh don’t forget the EXTRA sea salt 🧂on top, K? Off to Ollie’s first round of baby vaccines 😬. Hope everyone has a great Tuesday🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- Raw Cashews
- Peanut 🥜 Butter
- Medjool dates (keto option on my blog)
- coconut flour 
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨. (Direction 🎥 on my story)
.

https://shuangyskitchensink.com/no-bake-peanut-butter-cookies/

.
#shuangyseats #vegandessert #nobakedessert #peanutbuttercookies #nobakecookies,Oh hello 😍😍,So delish,So cute! 😍,This is heaven 😍😍😍,I’m IN LOVE,Wowww 😍 happy Tuesday to you girl ❤️,Peanut butter on peanut butter 😍😍,Pb + dates = yesss please 😍,WHOA 😭😭 these use to be one of my favorite childhood desserts 😍,Omg I’m DEFINITELY making these😍😍,🤤🤤🤤 I need them all please 😍,Holy peanut butter smushy sweet WOWWWWW😍😍,So gooey and delicious! 😍,They look like they’re baked! They’re so perfect 😍,omg wow these look amazing😍,OMFG NEED,omg my fave😍😍😍,With that middle pb layer 😍,Omg these look insane,Omg neeed🔥,Okay these cookies look incredible 🙌,They look like something I need!,Looks so delicious ❤️🙌,I’ll take oneee😍,",3177,277,14009
2021-04-26,"NO BAKE Cookie Dough Cheesecake Bars 🍪 that is Fudgy n Chewy n Crunchy. TOPped with a layer of Chocolate-Y and Smooth 🍫 “ganache” icing. Add it to my stash of Freezer bites (which I always make sure I have them in hands).
.
Hope everyone has a great Week🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- Raw Cashews
- Raw Almonds
- Nut 🥜 Butter
- Cacao powder 🍫
- Medjool dates
- Coconut oil
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨.
.

https://shuangyskitchensink.com/no-bake-peanut-butter-chocolate-bars/

.
#shuangyseats #vegandessert #energybites #nobakedessert 
.

#healthyeating #goodmoodfood #healthyrecipes #healthydessert #dessertrecipe #dairyfreedessert #easyrecipes #healthyfood #healthydiet #cleaneating #glutenfree #healthysnack #veganrecipes #vegandessert #healthyvegan #glutenfreedessert #cookiedoughbites #nobakecheesecake #glutenfreevegan #veganfood #healthysnacks,Insane 😍😍😍,Woah woah woah 😍😍😍,Oh my gosh ! So yum 😍,Those layers 😍😍😍,Ok you’ve combined LITERALLY all my favorite things!!!! 😳😍,I will be needing 😍,They sound so lovely shuang!!,This is the solution for Monday 😂,OMGGGG 😍,How do you do it 🥺,Okay hello delicious 😍,I need a batch of these ASAP,Need these🔥,So yummy ❤️❤️,These look to die for😍,Oh my stars I can’t with these 😍,The texture omg 🔥🔥🔥,So good 😍,Umm ok😍 this is looking amazing👏,Looks so delicious ❤️,looks amazing 😍😍,Oooh my goodness!!! Incredible ❤️,Exactly what I want on a Monday!!😍,HEAVEN!,",1608,242,11434
2021-04-23,"3-Ingredient Iced Oat Milk Chai Latte ☕️ that is sweet, spicy and CREAMY with @nutpods vanilla oat creamer. My favorite way to kick off the day or post lunch 💤. This mama could always use a pick me up in the afternoon 💁🏻‍♀️.
.
Spending the weekend with Tom’s family. Can’t wait for the little cousins to meet 👶🏼👶🏼👶🏼🐶! Ready for some cuteness overload 🐄.
.
•••••••••••
dEATs 👇🏼:
.
- 1/3 cup @nutpods vanilla oat creamer [use “SHUANGY” to get 20% off on nutpods.com only valid for new customers]
- 1 cup brewed Chai Latte
- 1 handful of ice
- Optional: 1 tbsp maple syrup (or to taste)
.
#shuangyseats #nutpodspartner #veganrecipes #chaitea #dairyfreerecipes #oatmilklatte #chailatte #IGotMySipTogether
.
.
.
.

#immunebooster #antiinflammatory #guthealth #healthyfood #healthydrink #sugardetox #whole30recipes #vegandrink #veganrecipes #healthyeating #cafelatte #healthylatte #dairyfree #dairyfreerecipes,Sounds amazing,This looks so refreshing 🙌,🔥Friyay amaze,So yumm😍😍 oh I tried it,I love chai ☕️ 😍and I’m sure those cousins are gonna love little Ollie.  Is he the youngest cousin?,Yummy!!! Mom fuel,yumm!! love it but starbucks and can be so expensive😫,So comforting 😍,Looks like the perfect chia latte 😍,Ooooh yum 😍 I’m going to need to try this!!!,My fav 🔥🔥,Looks so refreshing 😍,Into dis 😍😍,So great❤️,Sounds delicious 🤤,Nut pods are the beeeeest!,Sweet, spicy, and creamy are my buzz words 😍 Looovee their creamers!,Looks so cozy 😍,I need this chai latte right now 😍,Absolutely adore homemade chai!!,What I need to start the weekend ❤️,This sounds so delicious 😍,It’s a neeed😍,I need 🙌❤️,",584,138,5229
2021-04-22,"Baked Chocolate 🍫 Donuts that are MOIST, FLUFFY 💨 and so EASY to make. Need all the chocolate these days to get me through the days 💁🏻‍♀️. These bad boys are Paleo, Gluten Free. PERFECT #chocolateforbreakfast with a frothy mug ☕️, or dessert. My fav is to TOP with a Thick hunk with almond butter and sea salt 🧂, ya feel?
.
. Hope everyone has a Good Friday Jr. 🤸🏻‍♀️✨
.
•••••••••••••••.
dEATs 👇🏼:
.
- Eggs
- Sweet Potato purée
- Cacao Power
- Almond
- Maple 🍁 syrup
- Almond Butter (you can also use 🥜 butter 🤭)
- Chocolate Chips 🍫 
.

RECIPE on my blog, *LINK in bio ✨.
.
https://shuangyskitchensink.com/baked-chocolate-donuts-paleo-gluten-free/

.
.
#shuangyseats #paleodessert,I need to try these ASAP😍 they look delicious,I’ll take a dozen pls,Chocolate makes me happppy,I’ll take a dozennnn ❤️,You AMAZE ME,That Pb drizzle is magical!!,need these in my life 😍,The fluff factor I can not 😍😍,Okay I’ll take a box to go please,They look perfect 😍,Omg I need to get a donut pan 😍😍,The thickness is unreal 🙌🏼,🙌Yess please❤️ looks amazing!!,The fluffy emoji 😂😂,These look so fluffy!😍 I need to make these ASAP!,These donuts are a dream ☺️,ok but tjese look EXTRA chocolately😂😍,oooooffff the sweet potato add >>>,The rich chocolate color and drizzle wow just wow 😍😍😍 I need a batch ASAP,chocolate donuts are the best 😍,OH YUM,Those are so scrumptious,That fluff factor OH MY😍😍,it’s the sea salt for me 😍😍,",3765,276,0
2021-04-21,"SMOOTH sailing 🏄🏻‍♀️ into hump day with a Chocolate Almond butter Smoothie for breakfast💁🏻‍♀️. Been back on my smoothie game as the weather starts to warm up ☀️. packed with veggies, fruits, fats, protein. Got 🍫 and almond butter for TOPPINGs. HIT DA SPOT 👊🏼.
.
Hope everyone has a great day🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- 1 cup steamed then frozen zucchini or spinach
- 1/2 cup papaya
- 1 frozen 🍌
- 1/4 cup frozen sweet potato
- 1 tbsp almond butter
- 1/3 cup nut milk
- 2 tbsp cacao powder
- optional 1 scoop protein of choice (my fav is @vitalproteins collagen or @nuzest_usa pea protein)
.
Toppings:
.
@purely_elizabeth chocolate granola + almond butter + @evolvedchocolate 🍫 almond butter cup
.
#shuangyseats #chocolateforbreakfast #chocolatesmoothie,Omg super yummy,Ok you have my attention 😍😍,Eyeing that AB CUP 😍😍,The perfect start to Wednesday 🥺💗hardcore eyeing that pb cup on top!,Wow such a yummy goodness over here 😍thanks for the recipe‼️,You are starting hump day off right!!😍,Looks so delicious 🔥,Is this for real😍😍😍,Omg I want dive into this ❤️,That drip 😍 i want this!,Legit dessert for breakfast!,Oh emmm gee! I need to try this 🔥,This is my kinda smoooothie 🌞✨,That thickness 🙌,That is how I want to start my day 😍,DAYUMMMM,Looks delicious mama,A DREAM,Such an OUTSTANDING smoothie’,She's beautiful and delish 😍 what more do I need,The smoothie of my dreams!,Yes yes yessss😍😍😍 I need!!!,That frozen sweet potato making it sooooo creamy 😍,That drip tho 🔥 I gotta try zuchinni in my smoothies,",3395,299,0
2021-04-20,"Healthy Chocolate 🍫 Banana Bread is getting REELS! MOIST, FLUFFY 💨 and so EASY to make. Got some RIPE RIPE bananas 🍌? TOP with a Thick hunk with almond butter and sea salt 🧂. Ya feel?
.
.
Hope everyone has a good Tuesday🤸🏻‍♀️✨
.
•••••••••••••••.
dEATs 👇🏼:
.
- Eggs
- RIPE bananas 🍌 (duh)
- Cacao Power
- Almond + Coconut Flour
- Coconut sugar
- Almond Butter (you can also use 🥜 butter 🤭)
- Chocolate Chips 🍫 
.

RECIPE on my blog, *LINK in bio ✨. Direction on my story 🎥.

https://shuangyskitchensink.com/healthy-banana-bread-paleo-flourless/
.
.
.
.
#shuangyseats #paleodessert #chocolatelovers #bananabread #reelsvideo #foodreels #healthyeating #healthyrecipes #healthydessert #dessertrecipe #paleorecipes #dairyfreedessert #easyrecipes #healthydiet #cleaneating #healthysnack #easydessert #glutenfreedessert #healthybreakfast #paleodessert #paleorecipe #glutenfree #healthyfood #glutenfreefood #heathylifestyle #dessertrecipes #easydesserts,All about that easy 😍,Need this with my coffee 😍,Oh come on....😍🤤How you make me drool!!😍🤤,So fluffay!!! I need ten slices!,This is so dreamy 😍,So moist 😍😍😍,Here for banana bread with that extra chocolate 💁🏻‍♀️,Loveeee chocolate banana bread 🥺💗it’s the best!,Yes please 🍌🍫👏,That flakey sea salt on top....🤤🤤🤤🤤,Gimme 😍,Yesss! I need to make a loaf of this to stash in the freezer 😍😍,Yesss this is just the best,Oh my goodness drooling over this 😍😍😍,Haha love the caption and the bread 😍,omg heavenlyyyy😍,Ok I need this,This looks so bomb 🥲,That almond butter topping looks insane! 😍🔥,Ooh looks absolutely AMAZING 😍😍❤️ I'd love to try,love the cacao addition!!!😍😍,The toppings are perfect 🙌✨,gimme a thickkk slice 😍,The best kind of banana bread right there 😍,",1663,235,14239
2021-04-19,"Beef n Broccoli Stir Fry 🥦 (牛肉炒西兰花) that is better than takeout 🥡 Tender and juicy beef Smothered in an EASY sticky sauce, this recipe is SO Flavorful and HIT HOME for me 🥊. If I can squeeze in 20 min to make this in between Oliver’s screaming.. it’s THAT easy 💁🏻‍♀️.
.
Hope this give you some new dinner inspo for the week! Have a great Monday ✨! 
.
•••••••••••••.
dEATs 👇🏼:
.
- Beef flank steak
- broccoli 🥦
- soy sauce or coconut aminos
- vinegar, sesame oil
- Arrowroot flour (or corn starch)
.
Serve with cauliflower rice for a #whole30meals 🍚!
.
Check out the full recipe on my blog 👉🏼 link in bio ✨. (Direction 🎥 on my story ”)
.

https://shuangyskitchensink.com/beef-and-broccoli-stir-fry/

.
.
#shuangyseats #paleorecipes #whole30recipes #chinesefood #beefandbroccoli #healthydinnerideas #easydinner,Sounds delish!!,Much better than takeout 😍,Mummy shuangs meal looks so delicious ❤️,Making me want to make or order some tonight 👏,I want all your dinners!!!,Good gracious! This is perfect!!! 😍,Need this🔥,The sautéed mushrooms are PERFECT in there 😍❤️,Oh mama, yes,I mean yes please 🙌👏🔥,Beef and broccoli is my fave,Looks and tastes better than take out!! Wow 😍,This looks better than any take out I’ve gotten! 😍,Looks so delicious,Yummy yummy!! Mommy fuel,Nothing better than takeout made at home!,Yum I need to make this,Ooh looks absolutely AMAZING 😍😍❤️ I'd love to try,need this 😍,Better than any takeout 😍❤️,Wow I need this in my fridge right now 😂,Solid way to do beef and broccoli 🙌,Even better if you add a little chili garlic sauce and make it spicy 🌶 🔥,I know what I’m making for dinner!!,",1318,200,0
2021-04-16,"Say hello to my daily @ritual postnatal vitamins that helps supports this new mama 💁🏻‍♀️and our little Oliver (🐄 👉🏻🍼, get it?)
.
Beside the fact that it is legit the best tasting multivitamins I’ve had, it’s gentle on the stomach, provides key nutrients for this mama’s daily needs postpartum like Iron, Biotin, Omega 3 DHA, Iodine and more.
.
@ritual has multivitamins that are formulated for all ages. Definitely check it out yourself, with 10% off your first 3 months using “SHUANGY10”.
.
#shuangyseats #ritualpartner #postpartum #newbornbabyboy,So sweet!!,Cutie patooties!!! Gotta get in those vitamins so they can take em all away from us 😅😅😅,you cuties!!,The yawn though 🥺💗oof making me smile!!,I felt that yawn in my soul! 😍,Love this multivitamin ❤️❤️,What a cutie (both of you 😉☺️) love ritual!!,So so cute!🤩🤍,So freakin cute 😍,Omg so cute😍😍,I’ve heard a lot about these guys!,HELLO CUTIE MAMA AND CUTIE BABY,You’re the cutest mama,The CUTEST😍,Y’all are the cutest,He’s such a cutie! That’s an awesome ritual! 😊,Cuteness overload 😍😍😍happy Friday,A total mood! 😆,Two cuties!!,Need to check these out!!❤️,Love these pics!!! 😍😍,Such a cute photo of you too 😍,Stunning 😍,Beautiful pics. 💕 He's a cutie.,",1478,189,0
2021-04-15,"Healthyish S’mores Brownies 🍫 with graham cracker crust just in time for your weekend baking ! A rich gooey paleo brownie base TOPped with Caramelized marshmallow and sweet Graham crackers crust. SAY NO MORE 💁🏻‍♀️.
.
Hope everyone has a great Friday jr.🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- Eggs
- Sweet Potatoes 🍠
- Cacao Powder
- Marshmallow duhh
- Graham crackers
- Chocolate Chips
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨.
.

https://shuangyskitchensink.com/paleo-pecan-pie-brownie-gluten-free-low-carb/
.
🎥: talented @holistic.thamis
.
#shuangyseats #smores #smoresbrownies #healthybrownies #recipevideo #bakingvideos,I need to make these this weekend 😍😍,These look delicious! Love the healthier take on the brownie ❤️,It’s the crust for me 😋😋,Mmmm love me some brownies 😍❤️,Looks yummy!😋😋😋,S’mores brownies say whatttt😍 this is  GENIUS,Love love love smores brownies 💗🥺the best!!!,OH EM GEE,This recipe is making me weak. S’mores anything 🙋🏻‍♀️,Oh yummmm I love these,Okay these are an absolute NEED,That marshmallows topping 😍,These layers are perfect 😍😍,I will say no more. Speechless 🤩,OH HELLO YES PLEASE,MY OH MY 😍😍 say noo more!! I love s’mores brownies 👏😍,These brownies look unreal 😍😍😍😍,flavor is everything,I love watching this,Woah, baby! I know what I’m making this weekend 😍🤤,These scream summer!!!,We’re drooling!! This would taste amazing with dulce de leche as well 😍🔥,Dangggg that crunchy bottom 😍,SAVED!! These are epicccc😍,",737,175,7027
