date,food name,Ingredients,Nutrition
2021-07-06,kellogg' cereal - cornflak (jumbo pack),"1. Pour Kellogg's Cornflakes onto bowl with cold milk,2. Ready to serve,• To preserve freshness, fold inside bag after package is opened or store in a container,• Store away from direct sunlight,• Keep in a dry place",
2021-07-06,haldiram - navratan mix,"- Navratan Mixture offers you an appetizing blend of dried nuts, deep-fried beaten rice and the exotic flavours of classic Indian spices. ,- Mixture will make your tea-time snacking experience into an unmatchable delight.","Attributes,Per Serving (50),Protein,5.31g"
2021-07-06,mcvitie' digest biscuit - origin,"• Offers superior quality and contains whole wheat cereal,• Packed with goodness of whole wheat and fibre,• Delicious digestive cookies made with finest wholesome ingredients",
2021-07-06,myojo instant noodl - chicken abalon,"Directions:,1. Put noodles into 450ml of boiling water in a pot and boil,2. Cook for 4 minutes,3. Remove pot from heat and put seasoning powder to the noodles,4. Mix well and serve immediately,• Noodles:Wheat Flour (74%), Palm Oil [Antioxidants (306, 320, 321)], Salt, Acidity Regulators (450, 451, 501, 500), Stabiliser (414), Emulsifier (471),• Seasoning Powder: Salt, Flavour Enhancers (621, 635), Flavouring Powder, Soya Sauce Powder (Soya, Wheat, Salt), Lactose, Shrimp, Fish Oil, Clam, Crab, Imitation Abalone Flavour, Yeast Extract, Oyster, Acidity, Regulator (330), Hydrolysed Plant Protein [Soya, Stabiliser (1400)], Sugar, Spices, Spring Onion, Chilli, Colour (150C), Anti-Caking Agent (551,• This product contains wheat, crustacean, fish, soya, milk","Attributes,Per Serving (100g),Energy,370kcal,Cholesterol,2mg,Protein,8g,Total Fat,2.3g,Saturated Fat,5.5g,Carbohydrate,56.4g,Dietary Fibre,0.6g,Sodium,2290mg"
2021-07-06,fairpric potato chip - origin,,
2021-07-06,lott pokemon chocol wafer,,
2021-07-06,twinfish oat choco green tea matcha,,
2021-07-06,meiji yan yan stick biscuit - chocol,,"Attributes,Per Serving (50g),Energy,261kcal,Protein,4g,Total Fat,13g,Saturated Fat,5g,Trans Fat,0.2g,Cholesterol,0mg,Carbohydrate,33g,Dietary Fibre,2g,Sodium,158mg"
2021-07-06,nissin instant cup noodl - chicken,"1. Pull lid back to indicated line, pour boiling water up to inner line, 2. Close lid for 3 minutes,3. Remove lid, stir well and serve","Attributes,Per Serving (100g),Energy,325kcal,Sodium,1931mg,Protein,9.4g,Total Fat,11.7g,Saturated Fat,6.4g,Carbohydrate,45.5g,Dietary Fibre,2.1g,Cholesterol,7mg,Sugars,4.1g"
2021-07-06,makhanawala makhanawala roast makhana cream & onion,,
2021-07-06,13 honey stingless bee honey,,"Attributes,Per Serving (),Energy,273kcal,Carbohydrates,68.2g,Proteins,0g,Fats,0g"
2021-07-06,diet food 100% bio blackcurr fruit roll up,,"Attributes,Per Serving (),Energy,337kcal,Fat,4.5g,Carbohydrates,58g,Sugars,45g,Fiber,22g,Proteins,5.0g"
2021-07-06,mento choco candi - mint chocol,"• Temperature less than 35°C ,• Less than 60% relative humidity","Attributes,Per Serving (100g),Energy,408kcal,Cholesterol,6.4mg,Protein,2.8g,Total Fat,8.9g,Saturated Fat,5.4g,Carbohydrate,79g,Sugars,61.8g,Dietary Fibre,2.3g,Sodium,219mg"
2021-07-06,nongshim instant cup noodl - shrimp,"• Noodles: Wheat Flour, Vegetable Oil, Starch, Salt, Acidity Regulator, Colour, Green Tea Extract,• Soup Powder: Salt, Flavour Enhancer, Shrimp Extract, Hydrolyzed Vegetable Protein, Spices, Sugar, Chilli Powder, Garlic Powder, Soybean Paste Powder, Yeast Extract, Onion Powder, Malt Syrup, Clam Extract, Vegetable Oil, Maltodextrin, Chilli Extract, Mushrooms,• Vegetable: Dehydrated Carrot, Dehydrated Chives, Dehydrated Shrimps, Dehydrated Seaweed
","Attributes,Per Serving (72g),Energy,319kcal,Total Fat,12.8g,Protein,5.9g,Carbohydrate,44.9g,Sugars,1.9g,Saturated Fat,6.2g,Trans Fat,0g,Sodium,1418mg"
2021-07-06,kettl brand potato chip - sea salt,,"Attributes,Per Serving (28g/about 13 Chips),Calories,150,Trans Fat,0g,Calories from fat,80,Total Fat,9g,Saturated Fat,1g,Polyunsaturated Fat,1g,Monounsaturated Fat,7g,Cholesterol,0mg,Sodium,115mg,Potassium,430mg,Total Carbohydrate,16g,Dietary Fiber,1g,Sugars,0g,Protein,2g,Vitamin A,0%,Vitamin C,10%,Calcium,0%,Iron,2%"
2021-07-06,the belgian white chocol bar - strawberri,"Sugar, Cocoa Butter, Full Cream Milk Powder, Lactose, Whey Powder (Milk), Strawberry pieces [1% (Strawberry, Maltodextrin), Emulsifier (Soya Lecithin), Flavour, Citric Acid,• May contain traces of nuts and gluten","Attributes,Per Serving (20g),Calories,110cal,Calories from Fat,50g,Total Fat,6g,Saturated Fat,3.5g,Trans Fat,0g,Cholesterol,< 1mg,Sodium,20mg,Carbohydrate,12g,Dietary Fibre,0g,Sugars,12g,Protein,1g,Vitamin A,0%,Vitamin C,0%,Vitamin C,0%,Calcium,2%,Iron,0%"
2021-07-06,seeberg soft fruit - pit date,,
2021-07-06,vitamax dri oatmeal packet - instant,"1. Empty the sachet content into a cup,2. Add 200ml of hot water and stir well","Attributes,Per Serving (100g),Energy,370kcal,Trans Fat,0g,Protein,12.9g,Total Fat,9.8g,Saturated Fat,2.1g,Cholesterol,0mg,Carbohydrate,57.6g,Sugars,0g,Dietary Fibre,9.2g,Sodium,2mg,Calcium,48.9mg"
2021-07-06,kettl brand potato chip - sea salt & vinegar,,"Attributes,Per Serving (28g),Total Fat ,9g,Monounsaturated Fat,7g,Saturated Fat ,1g,Trans Fat,0g,Polyunsaturated Fat,1g,Cholesterol,0mg,Sodium ,310mg,Potassium,400mg,Total Carbohydrate,16g,Dietary Fiber,1g,Sugars,0g,Protein ,2g"
2021-07-06,primula nacho chees dip gluten free suitabl for vegetarian,,
2021-07-06,sing long white sesam past powder,"-Energy 219kcal ,-No Artificial Colouring & Flavouring  ,-Convenient,1.Pour A sachet of Sing Long Instant White Sesame Paste Powder Into A Bowl.,2.Add Boiling Water And Stir Gently Until Completely Dissolved.,3.Taste Great When Served Immediately.","Attributes,Per Serving (50),Protein,3.9g,Total Fat,7.7g,Saturated Fat,0.9g,Tans Fat,0.0g,Cholesterol,0.0mg,Carbohydrate,34.1g,Dietary Fibre,2.0g,Sodium,3mg"
2021-07-06,sing long black bean past powder,"-Energy 238kcal  ,-Convenient,1.Pour A sachet of Sing Long Instant Black Bean Paste Powder Into A Bowl.,2.Add Boiling Water And Stir Gently Until Completely Dissolved.,3.Taste Great When Served Immediately.","Attributes,Per Serving (50),Protein,9.1g,Total Fat,0.5g,Saturated Fat,0.1g,Tans Fat,0.0g,Cholesterol,0.0mg,Carbohydrate,49.3g,Dietary Fibre,6.6g,Sodium,25mg"
2021-07-06,hollyfarm inst. walnut past powder,"1.Pour A sachet of Sing Long Instant Walnut Paste Powder Into A Bowl.,2.Add Boiling Water And Stir Gently Until Completely Dissolved.,3.Taste Better If Served Immediately.","Attributes,Per Serving (50),Total Fat,21g,Cholesterol,0mg,Sodium,10mg,Total Carbohydrate,20g,Dietary Fibre,2g,Sugar,2g,Protein,4g"
2021-07-06,We We delici crispi cuttlefish,,
2021-07-06,kettl brand potato chip - honey dijon,"The Honey Dijon chips have bold favour and hearty crunch.,They taste so great because they're made from all natural, real food ingredients, the finest potatoes, natural oil and craft cooking method.",
2021-07-06,mekong rice paper,,"Attributes,Per Serving (100),Total Fat,0g,Cholesterol,0mg,Sodium,720mg,Total Carbohydrate,80g,Sugar,2g,Protein,1.2g"
2021-07-06,ottogi jin ramen bowl-hot,"-Calcium 6% ,-Contains Wheat , soybean and fish  ,-Instant noodle  ,-Authentic Korea Taste  ,-Easy-to-prepare,1.Open lid up to the dotted line.,2. Add powder soup and boiling water up to inside line. ,3. Close lid and wait 4 minutes.,Noodle: Wheat flour, Palm oil, Modified potato starch, Potato starch, Salt, Emulsified oil, Beefbone extract, Calcium, Alkaline agent, Wheat gluten, Onion extract, riboflavin ,Powder soup: Salt, kelf extract powder, yeast extract powder, sugar, glucose, soy sauce powder, beef extract powder, mixed vegetable powder, palm oil powder, corn starch, seasoned kimchi powder, black pepper, red pepper, seasoned mushroom powder, Maltodextrin, Garlic,Oleoresin paprika, Disodium succinate, Cuttlefish ,Dehydrated vegetable mix: Green onion, Mushroom , Carrot, Seaweed","Attributes,Per Serving (55),Protein,5g,Total fat,8g,Saturated Fat,4g,Cholesterol,0g,Carbohydrate,37g,Fiber,1g,Sugar,3g,Sodium,970mg"
2021-07-06,samyang hot chicken jjajang big bowl,"1. Open the lid half way and take out the liquid sauce. Pour the boiling water up to the inner line and cover the lid for 4 minutes.,2. Please remove the water (remain 3-5 spoons water). Put in the liquid sauce and well mix to serve.,Noodle (71.9%): Wheat Flour, Modified Tapioca Starch, Refined Palm Oil, Wheat Gluten, Refined Salt, Glycerin, Soybean Oil, Thickener [Guar Gum (E412)], Purified Water, Acidity Regulator [Potassium Carbonate Anhydrous (E501(i)), Sodium Carbonate (E500), Sodium Phosphate Dibasic (E339(ii)), Citric Acid (E330)], Emulsifier [Lecithin (E322(i)], Green Tea Flavor Oil. , ,Soup (16.2%): Water, Black Bean Paste, White Sugar, Artificial Chicken Flavor, Onion, Soy Sauce, Soybean Oil, Whole Milk Powder, Mozzarella Cheese Powder, Chilli Pepper Powder, Red Pepper Powder, Milk Powder, Modified Potato Starch, Caramel Color, Yeast Powder, Garlic, Butter Powder, Salt, Texturized Soy Protein Powder, Decolorized Chilli Extract, Non Dairy Creamer, Paprika Extract, Corn Syrup, Flavor Enhancer [ Disodium 5-Ribonucletide (E365)], Black Pepper Powder, Acidity Regulator [Potassium Cabonate (E501), Sodium Carbonate (E500), Sodium Phosphate (E339), Sodium Pyrophosphate (E450(iii))] , ,Flake (11%): Dried Carrot, Dried Cabbage, Frozen Dried Green Peas, Dried Onion, Textured Vegetable Protein","Attributes,Per Serving (105),Energy,1799kj,Protein,10.0g,Total fat,16.0g,Saturated Fat,7.0g,Carbohydrate,62.0g,Sugar,7.0g,Fiber,3.2g,Salt,2.6g,Sodium,1020mg"
2021-07-06,ottogi oyster jin jjambong big bowl,"-Authentic Korea Taste , -Easy-to-prepare,1.Open lid up to the dotted line.,2. Add powder soup and boiling water up to inside line. ,3. Close lid and wait 4 minutes.",
2021-07-06,samyang hot chicken carbonara cup ramen,"1. Open the lid half way and take out the liquid sauce. Pour the boiling water up to the inner line and cover the lid for 4 minutes.,2. Please remove the water (remain 3-5 spoons water). Put in the liquid sauce and well mix to serve.,Noodles (71.9%): ,Wheat Flour, Modified Tapioca Starch, Refined Palm Oil, Modified Potato Starch, Refined Salt, Glycerin, Soybean Oil, Thickener [Guar Gum (E412)], Purified Water, Emulsifier [Lecithin (E322)], Acidity Regulatory [Potassium Carbonate (E501), Sodium Carbonate (E500), Sodium Phosphate Dibasic (E339), Citric Acid (E330)], Green Tea Flavor Oil.  , ,Soup (16.2%): ,Water, Soy Sauce, White Sugar, Artificial Chicken Flavor Powder, Artificial Chicken Flavor, Red Pepper Powder, Chilli Pepper Powder, Soybean Oil, Onion, Red Pepper Seed Oil, Garlic, Modified Potato Starch, Paprika Extract, Decolorized Chilli Extract, Black Pepper Powder, Curry Powder. , ,Powder (11.9%): ,Whole Milk Powder, Milk Powder, White Sugar, Salt, Mozzarella Cheese Powder, Butter Powder, Modified Potato Starch, Curly Parsley, Pepper Powder, Garlic Powder, Soybean Oil.","Attributes,Per Serving (80),Energy,1423kj,Protein,5.0g,Total fat,12g,Saturated Fat,6g,Trans Fat,0g,Cholesterol,0mg,Carbohydrate,53g,Sugar,5g,Dietary Fiber,2.0g,Salt,2.1g,Sodium,830mg"
2021-07-06,wei wei vegetarian flavor bowl noodl,"Direction: ,1. Open the lid back to the arrows and put the soup base and flavoured oil into the bowl, then pour boiling water up to brim (about 450 mL). ,2. Close the lid and wait foe 3 minutes. Remove the lid and stir well and enjoy it.,Noodle: Wheat Flour, Palm Oil, Tapioca Starch, Salt, Flavour Enhancer (621, 635), Acid Regulator (500 (i), 501 (i), 452 (i), 451 (i), 450 (iii)), Compound emulsifier (Humectant (422), Soybean oil, 475, 322), Thickener (466, 401, 412), Antioxidant (307b).   ,Soup Base: Dehydrated materials, Salt, Flavour enhancer (621, 635), Spices, Hydrolysed soybean protein. ,Flavoured Oil: Palm oil, Soy sauce, Sesame oil, Ginger, Antioxidant (307b).","Attributes,Per Serving (77),Total Fat,19g,Saturated Fat,9g,Trans Fat,0g,Cholesterol,0mg,Sodium,1110mg,Total Carbohydrate,44g,Dietary Fiber,1g,Sugars,1g,Protein,7g"
2021-07-06,ottogi chees ramen bowl In soup,"- Do not microwave , -This product contains cereal containing wheat , milk , fish,egg, soybean  ,-Authentic Korea Taste  , -Easy-to-prepare,1.Open lid up to the dotted line.,2. Add powder soup and boiling water up to inside line. ,3. Close lid and wait 4 minutes.,Noodle: Wheat flour, Palm oil, Potato starch, Thickener, Salt, Wheat gluten, Garlic extract, Emulsified oil, Soyabean oil, Emulsifier, Calcium, Acidity regulator,  Colour ,Soup: Salt, Garlic powder, Glucose, Sugar, Beef extract powder, Spices,Soy sauce powder, Chicken extract powder, Cabbage extract powder, maltodextrin, Kelp extract powder, Palm oil powder, Potato starch, Beef bone extract powder, Egg white powder, Flavour exhancer, Thickener, Chilli extract, Corn flour, Yeast extract powder, Mushroom extract powder, Black pepper, Hydrolyzed vegetable protein, Caramel powder, Acidity regulator ,Cheese powder soup: Cheese powder, Milk cream powder ,Dehydrated Vegetable Mix: Fish cake ,Carrot, Cabbage, Corn, Spinach","Attributes,Per Serving (90),Protein,8g,Total fat,14g,Saturated Fat,7g,Carbohydrate,58g,Sugar,5g,Sodium,1780mg,Calcium,154mg"
2021-07-06,samyang spici ramen cup,"Noodle (82.5%): Wheat Flour, Modified Tapioca Starch, Refined Palm Oil, Refined Salt, Fermented Soy Sauce, Onion Extract, Glycerin, Soybean Oil, Thickener [Guar Gum (E412)], Purified Water, Acidity Regulator [Potassium Carbonate (E501), Sodium Carbonate (E500), Sodium Phosphate Dibasic (E339(i)), Citric Acid (E330)], Purified Water, Emulsifier[Soy Lecthin (E322(i))], Green Tea Flavor Oil. , ,Soup(15.7%): White Sugar, Artificial Chicken Flavor Powder, Soy Sauce Powder, Black Pepper Powder, Chilli Extract, Flavour Enhancer [Monosodium L-Glutamate (E621)], Garlic Flavor Oil, Salt, Potato Starch, Yeast Extract Powder, Green Pepper Powder,  Yeast Powder, Red Pepper Powder, Garlic Powder, Paprika Extract , ,Flake (1.8%): ,Dried Bok Choy, Dried Carrot Flake, Dehydrated Chives, Dried Cabbage Flake, Dried Mushroom Flake, Dried Red Pepper","Attributes,Per Serving (65),Total Fat,9g,Saturated Fat,5g,Trans Fat,0g,Cholesterol,0mg,Sodium,1250mg,Total Carbohydrate,42g,Dietary Fiber,3g,Sugars,3g,Protein,6g,Iron,0.3mg,Calium,10mg,Potassium,100mg"
2021-07-06,ego beehiv egg roll - cream,"• Hong Kong special local product,• Cream flavour,Wheat Flour, Sugar, Margarine, Fresh Eggs, Salt, Food Additives (β-Carotene),• Contains: gluten (wheat and oats), milk and soybean product,• May contain traces of nuts","Attributes,Per Serving (100g),Energy,528kcal,Sodium,103mg,Protein,4.76g,Fat,29.8g,Carbohydrate,61.0g"
2021-07-06,mento choco candi - caramel chocol,"• Temperature less than 35°C ,• Less than 60% relative humidity","Attributes,Per Serving (100g),Energy,408kcal,Cholesterol,6.4mg,Protein,2.8g,Total Fat,8.9g,Saturated Fat,5.4g,Carbohydrate,79g,Sugars,61.9g,Dietary Fibre,2.3g,Sodium,219mg"
2021-07-06,rawmio trail mix raw chocol bark,,
2021-07-06,rawmio hazelnut and fig raw chocol bark,,
2021-07-06,rawmio puf cereal crunch raw chocol bark,,
2021-07-06,sing long black sesam powder,"-Energy,159,kcal  ,-Selenium,1.4,mcg ,-Vegetarian  ,-Premium quality","Attributes,Per Serving (30),Protein,5.7g,Total Fat,13.8g,Cholesterol,0.0mg,Carbohydrate,3.0g,Dietary Fibre,0.0g,Sodium,2mg,Monosaturated Fat,5.2g,Polyunsaturated Fat,6.1g,Starch,2.0g,Sugars,1.0g,Thiamin,0.2mg,Riboflavin,0.1mg,Potassium,107.4mg,Calcium,234.1mg,Phosphorus,154.9mg,Iron,6.8mg,Zinc,1.8mg"
2021-07-06,rawmio activ superfood raw chocol bark,,
2021-07-06,Oh So healthy! mango sweet potato banana fruit crisp,,
2021-07-06,fairpric roast cashew nut,,
2021-07-06,fairpric california pistachio,,
2021-07-06,orell' glaze banana thin - chocol flavour,,
2021-07-06,britannia 50 50 sweet and salti,,"Attributes,Per Serving (null),Calories,565kj,Protein,2g,Fat,6g,Carbohydrate,18g,Sodium,0.15g"
2021-07-06,nimm2 smile gummi gummi candi - sour,,
2021-07-06,fairpric spin cracker,"Fresh Tapioca, Palm Oil and Salt,• Allergen advice: May contain crustacean, fish, peanuts, mulk and tree nut",
2021-07-06,nice choic pineappl cake - origin,"• Authentic Taiwanese pineapple cake,• Crispy on the outside, soft and sweet on the inside,• Filled with pineapple jam in the middle,• Perfect as a snack,• Store in a cool dry place,• Avoid exposing product to direct sunlight,Pineapple Paste 50% (Pineapple, Was Gourd, Maltose, Sugar, Artificial Pineapple Flavour, Antioxidant (Sodium Sulfite E221)), Wheat Flour, Vegetable Shortening (Palm Oil, Soybean Oil, Coconut Oil), Sugar, Anhydrous Milk Fat, Milk Powder, Preservative (Sodium Propionate E281)
,• Contains: Wheat, Milk, Soy, Tree Nuts and Sulphite
","Attributes,Per Serving (28g),Energy,113kcal,Protein,1.5g,Total Fat,3.6g,Saturated Fat,2g,Carbohydrate,18.7g,Sugars,5.2g,Sodium,27mg"
2021-07-06,new moon new zealand abalon,,
2021-07-06,fairpric veget cracker,"Tapioca Flour, Fresh Cassava, Sugar, Fresh Chili, Wheat Flour, Shallot Leaf, Salt, Palm Oil, Monosodium Glutamate and Baking Powder [E500(ii), E450(i), Corn Starch and Acesulfame-K,• Allergen advice: Contains gluten and may contain crustacean, fish, peanuts, mulk and tree nut",
2021-07-06,orell' glaze banana thin,,
2021-07-06,riang pineappl roll,,
2021-07-06,rawmio chocol cover sprout hazelnut,,
2021-07-06,anjalichocolat medium easter bunni - dark chocol,,
2021-07-06,sanwa roast chestnut,,
2021-07-06,delphi fresh classic taramosalata dip dairi free,,
2021-07-06,orell' glaze banana thin - cinnamon flavour,,
2021-07-06,anjalichocolat larg easter bunni - dark chocol,,
2021-07-06,anjalichocolat larg easter bunni - milk chocol,,
2021-07-06,alara gluten free pure oat porridg,,
2021-07-06,alara organ ancient grain muesli,,
2021-07-06,alara gluten free fruiti oat muesli,,
2021-07-06,orell' glaze taro thin,,
2021-07-06,alara organ and gluten free delight muesli,,
2021-07-06,fairpric roast peanut,,
2021-07-06,alara organ and gluten free goji and cranberri muesli,,
2021-07-06,alara organ milk and honey granola,,
2021-07-06,alara organ and gluten free scottish oat porridg,,
2021-07-06,anjalichocolat 2 white chocol lollipop - valentin day,,
2021-07-06,anjalichocolat medium easter bunni -white chocol,,
2021-07-06,anjalichocolat 2 dark chocol lollipop - valentin day,,
2021-07-06,alara gluten free luxuri porridg (non oats),,
2021-07-06,alara organ old fashion porridg oat,,
2021-07-06,anjalichocolat medium easter bunni - milk chocol,,
2021-07-06,alara organ classic appl bircher muesli,,
2021-07-06,anjalichocolat larg easter bunni - white chocol,,
2021-07-06,anjalichocolat easter chicken - white chocol,,
2021-07-06,anjalichocolat larg easter egg - milk chocol,,
2021-07-06,anjalichocolat larg easter egg - dark chocol,,
2021-07-06,anjalichocolat medium easter egg - milk chocol,,
2021-07-06,alara gluten free fruit and nut muesli,,
2021-07-06,anjalichocolat medium easter egg - white chocol,,
2021-07-06,anjalichocolat mini easter egg - assort,,
2021-07-06,anjalichocolat medium easter egg - dark chocol,,
2021-07-06,anjalichocolat easter chicken - dark chocol,,
2021-07-06,anjalichocolat easter chicken - milk chocol,,
2021-07-06,anjalichocolat gift box of 9 bonbon and truffl - cni,,
2021-07-06,anjalichocolat gift box of 9 bonbon & truffl - valentin day,,
2021-07-06,alara organ everyday muesli,,
2021-07-06,britannia - nutri choic oat - orang,"- You know that Oats are healthy, however they are not very easy to consume - they taste bland and need to be cooked. ,- Presenting Nutrichoice Oat cookies made with crunchy Almonds and zesty Oranges, a delicious new way to have Oats. Now have Oats whenever you like.","Attributes,Per Serving (34),Total Fat,7g"
2021-07-06,anjalichocolat gift box of 9 bonbon & truffl - christma,,
2021-07-06,anjalichocolat gift box of 16 bonbon and truffl - cni,,
2021-07-06,britannia - the origin bourbon choco kreme,"- Thick, rich and delicious chocolate packed between two crunchy chocolate biscuits, topped with sugar crystals - presenting, the original Bourbon, from the house of britania. ,- India's first and favorite Bourbon's sweet adventure began in 1955. Since then, Bourbon lovers across the country have been caught opening this chocolate couplet, licking the cream, and nibbling at the melt-in-your-mouth biscuit, bit by bit.","Attributes,Per Serving (33),Total Fat,6g"
2021-07-06,britannia - the origin bourbon choco kreme,"- Thick, rich and delicious chocolate packed between two crunchy chocolate biscuits, topped with sugar crystals - presenting, the original Bourbon, from the house of britania. ,- India's first and favorite Bourbon's sweet adventure began in 1955. Since then, Bourbon lovers across the country have been caught opening this chocolate couplet, licking the cream, and nibbling at the melt-in-your-mouth biscuit, bit by bit.","Attributes,Per Serving (33),Total Fat,6g"
2021-07-06,anjalichocolat 2 milk chocol lollipop - valentin day,,
2021-07-06,town bu - moong dal,"- Made from traditional recipes and freshest of ingredients. ,- Snack size, great for parties, celebrations and for daily snacking. ,- Ready to eat snacks","Attributes,Per Serving (100),Protein,18.5g"
2021-07-06,town bu - madra mixtur,"- Made from traditional recipes and freshest of ingredients. ,- Snack size, great for parties, celebrations and for daily snacking. ,- Ready to eat snacks","Attributes,Per Serving (40),Protien,14.2g"
2021-07-06,town bu - madra mixtur,"- Made from traditional recipes and freshest of ingredients. ,- Snack size, great for parties, celebrations and for daily snacking. ,- Ready to eat snacks","Attributes,Per Serving (100),Protien,14.2g"
2021-07-06,grb - rasogolla,"- Traditional Indian sweet for everyday celebrations.,- GRB Rasagull is a popular milk based Indian dessert. ,- A ready to eat delicacy that is immensely popular all over India but its origin is from Kolkata. ,- It is a white ball of pure indulgence. ,- It contains milk products.","Attributes,Per Serving (62.5),Total Fat,1.5g"
2021-07-06,haldiram - rajbhog,"- Rajbhog seamlessly combines the flavours of juicy rasgullas and crunchy dry fruits! ,- This irresistible cottage cheese delicacy is rich and tasty and beloved by everyone.' ,- Serve this treat up to your guests at get-togethers or as a simple dessert after a traditional Meal.","Attributes,Per Serving (100),Protein,8.52g"
2021-07-06,britannia good day chunki chocol chip cooki - By sonnamera,"- Abundance of big chocolate chips that melt in the mouth, Perfect combination of dark and milk chocolate chips..  ,- Rich, chocolaty dough baked until the Chunkie rises to perfection.","Attributes,Per Serving (25),Total Fat,7g"
2021-07-06,anjalichocolat gift box of 16 bonbon & truffles- christma,,
2021-07-06,kaviari baeri royal caviar-bi culina,,
